total instructions scanned: 13961732
Unsupported/PANIC decode hits: 14918
distinct opcodes:             7743
decode() PANIC hits:          0

distinct unsupported/panic opcodes by instance count:
  6e211400  x133   first@0x10569dd8c
  1ee24021  x122   first@0x1058600d4
  1ee24000  x116   first@0x1058601f4
  1e210400  x63   first@0x103325248
  4f001a9c  x62   first@0x10595cb1c
  4f01121c  x55   first@0x10595cb64
  4f011a9c  x55   first@0x10595cbac
  4f02121c  x54   first@0x10595cbf4
  4f021a9c  x54   first@0x10595cc44
  4f041a9c  x45   first@0x10595d154
  4f0177e9  x43   first@0x10589b8d0
  1ee24042  x42   first@0x10586bd4c
  4f0177e8  x40   first@0x10589e6ec
  4f04121c  x40   first@0x10595d12c
  4f00121c  x38   first@0x10595cad4
  4f031a9c  x36   first@0x10595d404
  4f03121c  x36   first@0x10595d3ec
  4e21c863  x33   first@0x1055e3644
  0ea0f800  x32   first@0x1032e4840
  2f047400  x29   first@0x102f62480
  1ee24084  x29   first@0x105861aa4
  1ee24063  x29   first@0x10586d360
  1ee24008  x29   first@0x10589fc74
  4f021a9d  x27   first@0x10595cbb0
  4f031a9d  x27   first@0x10595cc48
  4f03121d  x27   first@0x10595cbf8
  1e210500  x26   first@0x1033f2d00
  4e401421  x26   first@0x1059c1b7c
  0e401421  x25   first@0x1059c228c
  4f02121d  x25   first@0x10595cb68
  1ee00821  x25   first@0x1059cf374
  4e21c842  x25   first@0x1055e3640
  4e21c8c6  x24   first@0x10585d24c
  4e21c8e7  x24   first@0x10585d254
  4e411442  x24   first@0x10595a22c
  6e221462  x24   first@0x1056aeebc
  4f0177ea  x23   first@0x10589be54
  7ea3d442  x23   first@0x103498fb8
  4e21c884  x23   first@0x1055e3648
  6e413c01  x23   first@0x1059ce1f8
  4e411463  x23   first@0x1059cf28c
  0ea0f842  x22   first@0x1032e8d84
  0ea0f863  x22   first@0x1032e8d88
  7ea1d400  x22   first@0x1031ee2d4
  1ee240a5  x22   first@0x105861b64
  4e21c8a5  x22   first@0x10585d0c0
  2e413c01  x21   first@0x1059ce2a0
  0ea00a10  x21   first@0x1033d9474
  4e5e179c  x21   first@0x105902238
